id_codedep_codecommune;Code_departement;Nom_commune;PMUN
01001;01;L'Abergement-Clémenciat;779
01002;01;L'Abergement-de-Varey;256
01003;01;Amareins;#N/A
01004;01;Ambérieu-en-Bugey;14134
01005;01;Ambérieux-en-Dombes;1751
01006;01;Ambléon;112
01007;01;Ambronay;2800
01008;01;Ambutrix;762
01009;01;Andert-et-Condon;326
01010;01;Anglefort;1105
01011;01;Apremont;368
01012;01;Aranc;329
01013;01;Arandas;143
01014;01;Arbent;3349
01015;01;Arboys en Bugey;650
01016;01;Arbigny;460
01017;01;Argis;457
01018;01;Arlod;#N/A
01019;01;Armix;27
01020;01;Arnans;#N/A
01021;01;Ars-sur-Formans;1457
01022;01;Artemare;1249
01023;01;Asnières-sur-Saône;76
01024;01;Attignat;3251
01025;01;Bâgé-Dommartin;4065
01026;01;Bâgé-le-Châtel;973
01027;01;Balan;2563
01028;01;Baneins;617
01029;01;Beaupont;685
01030;01;Beauregard;829
01031;01;Bellignat;3652
01032;01;Béligneux;3376
01033;01;Valserhône;16378
01034;01;Belley;9182
01035;01;Belleydoux;310
01036;01;Valromey-sur-Séran;1326
01037;01;Bénonces;308
01038;01;Bény;754
01039;01;Béon;443
01040;01;Béréziat;486
01041;01;Bettant;748
01042;01;Bey;291
01043;01;Beynost;4754
01044;01;Billiat;632
01045;01;Birieux;283
01046;01;Biziat;895
01047;01;Blyes;1182
01048;01;Bohas;#N/A
01049;01;La Boisse;3283
01050;01;Boissey;365
01051;01;Bolozon;91
01052;01;Bouligneux;328
01053;01;Bourg-en-Bresse;41111
01054;01;Bourg-Saint-Christophe;1457
01055;01;Bouvent;#N/A
01056;01;Boyeux-Saint-Jérôme;349
01057;01;Boz;519
01058;01;Brégnier-Cordon;828
01059;01;Brénaz;#N/A
01060;01;Brénod;493
01061;01;Brens;1144
01062;01;Bressolles;934
01063;01;Brion;533
01064;01;Briord;1070
01065;01;Buellas;1812
01066;01;La Burbanche;89
01067;01;Ceignes;255
01068;01;Cerdon;775
01069;01;Certines;1503
01070;01;Cesseins;#N/A
01071;01;Cessy;4808
01072;01;Ceyzériat;3194
01073;01;Ceyzérieu;1000
01074;01;Chalamont;2589
01075;01;Chaleins;1382
01076;01;Chaley;125
01077;01;Challes-la-Montagne;196
01078;01;Challex;1557
01079;01;Champagne-en-Valromey;811
01080;01;Champdor-Corcelles;643
01081;01;Champfromier;735
01082;01;Chanay;628
01083;01;Chaneins;927
01084;01;Chanoz-Châtenay;895
01085;01;La Chapelle-du-Châtelard;400
01086;01;Charancin;#N/A
01087;01;Charix;282
01088;01;Charnoz-sur-Ain;903
01089;01;Château-Gaillard;2253
01090;01;Châtenay;356
01091;01;Châtillon-en-Michaille;#N/A
01092;01;Châtillon-la-Palud;1604
01093;01;Châtillon-sur-Chalaronne;4931
01094;01;Chavannes-sur-Reyssouze;761
01095;01;Nivigne et Suran;853
01096;01;Chaveyriat;1034
01097;01;Chavornay;#N/A
01098;01;Chazey-Bons;1159
01099;01;Chazey-sur-Ain;1566
01100;01;Cheignieu-la-Balme;131
01101;01;Chevillard;152
01102;01;Chevroux;961
01103;01;Chevry;2149
01104;01;Chézery-Forens;461
01105;01;Civrieux;1829
01106;01;Cize;179
01107;01;Cleyzieu;133
01108;01;Coligny;1176
01109;01;Collonges;2226
01110;01;Colomieu;156
01111;01;Conand;132
01112;01;Condamine;450
01113;01;Condeissiat;817
01114;01;Confort;667
01115;01;Confrançon;1333
01116;01;Contrevoz;498
01117;01;Conzieu;151
01118;01;Corbonod;1278
01119;01;Corcelles;#N/A
01120;01;Cordieux;#N/A
01121;01;Corlier;116
01122;01;Cormaranche-en-Bugey;#N/A
01123;01;Cormoranche-sur-Saône;1162
01124;01;Cormoz;689
01125;01;Corveissiat;612
01126;01;Coupy;#N/A
01127;01;Courmangoux;508
01128;01;Courtes;305
01129;01;Crans;291
01130;01;Bresse Vallons;2363
01131;01;Craz;#N/A
01132;01;Crépieux-la-Pape;#N/A
01133;01;Cressin-Rochefort;394
01134;01;Crottet;1758
01135;01;Crozet;2171
01136;01;Cruzilles-lès-Mépillat;893
01137;01;Cuisiat;#N/A
01138;01;Culoz;3004
01139;01;Curciat-Dongalon;444
01140;01;Curtafond;767
01141;01;Cuzieu;453
01142;01;Dagneux;4777
01143;01;Divonne-les-Bains;9951
01144;01;Dommartin;737
01145;01;Dompierre-sur-Veyle;1179
