Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,405586592.2,487709497.2,596648044.7,695530726.3,764804469.3,872067039.1,958659217.9,1083240223,1245810056,1320670391,1379888268,1531843575,1665363128,1722905028,1873452514,1896456983,1961843575,2044111732,2254830726,2360017318,2469782682,2677641341,2843024581,2553793296,2453597207,2637859218,2615208380,2727849721,2790849721,2962907263,2983635196,3092429050,3276184358,3395798883,2558906304,3103184102,3544707788,
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,21216962290,22307471356,23702472100,25779376633,28049537325,30374910060,33049155473,35933757402,38749864977,42964345101,43702318276,47632993913,51627511757,66610917871,81658052383,86883552689,88290755581,98868135190,1.10802E+11,1.29781E+11,1.68165E+11,1.7775E+11,1.69303E+11,1.79898E+11,1.66208E+11,1.4325E+11,1.54793E+11,1.85812E+11,2.02093E+11,2.14473E+11,2.51212E+11,2.73543E+11,2.39433E+11,2.40271E+11,2.43565E+11,2.73433E+11,2.72519E+11,2.88405E+11,2.68834E+11,2.65429E+11,2.87202E+11,2.60992E+11,2.67815E+11,3.55716E+11,4.42696E+11,5.16661E+11,5.80241E+11,6.65599E+11,7.13502E+11,7.15485E+11,8.4941E+11,9.45439E+11,9.52676E+11,9.63347E+11,9.7969E+11,8.99296E+11,8.2983E+11,9.40105E+11,1.01272E+12,1.00653E+12,9.29074E+11,1.08677E+12,1.18396E+12,1.23616E+12
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3521418060,2813571754,3825701439,4520946819,5224896719,6203256539,6971758282,9747886187,10109297048,12416152732,15856668556,17805098206,19907329778,20146416758,20497128556,19134221645,18116572395,18753456498,18053222687,18799444490,19955929052,14266499430,14502158192,
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,11884128412,12685662255,13606829297,14439975114,15769107620,16934480010,18048039302,16495768073,17022696447,19301308227,26697107728,24507115745,29493915342,36902672687,49688193509,57280847234,68386320009,71790695540,78779099935,96682239143,1.20501E+11,2.16911E+11,1.95918E+11,1.51223E+11,1.31218E+11,1.37803E+11,1.09237E+11,1.12295E+11,1.11227E+11,1.03934E+11,1.23711E+11,1.29942E+11,1.24599E+11,1.29733E+11,1.34777E+11,2.07177E+11,2.62601E+11,2.75742E+11,2.96152E+11,1.39468E+11,1.4214E+11,1.49452E+11,1.78692E+11,2.06982E+11,2.56101E+11,3.12409E+11,3.97089E+11,4.65684E+11,5.67938E+11,5.08553E+11,5.98698E+11,6.82233E+11,7.378E+11,8.34161E+11,8.94585E+11,7.69367E+11,6.92181E+11,6.8575E+11,7.6819E+11,8.23934E+11,7.87147E+11,8.45993E+11,8.77141E+11,7.96586E+11
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5880000000,4432026144,5538657322,6535458385,7675423799,6506387247,6152923310,9129594970,8936079118,15285592370,17812704586,23552057679,36970900884,52381025141,65266415494,88538665085,70307196182,83799474070,1.1179E+11,1.28053E+11,1.32339E+11,1.35967E+11,90496420507,52761617226,73690154991,79450688259,70897962732,48501561204,66505129988,1.044E+11,84722957642
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1857337995,1897050117,2097326250,2080796250,2051236250,2253090000,2028553750,1099559028,652174990.8,1185315468,1880950864,2392764853,3199640815,2258513974,2545964541,3212121651,3480355258,3922100794,4348068242,5611496257,7184685782,8052077248,8896075005,10677324853,12881352894,12044205550,11926926616,12890760315,12319834195,12776224497,13228147516,11386853113,11861199831,13019726212,15156424015,15401826127,15162734205,17930565119,18916378861,22977677861
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78617711.1,89406608.15,113414397.4,150841639.3,186557082,220112572.2,227283850.8,253997897.2,308020261.2,411548748.4,446377776.8,388983266.2,375914743.6,327850042.5,330073080.6,346742714.7,481996012.9,611299924.5,721425939.2,795489582,1028989692,1106891362,1209992020,1007090270,1017544069,1178745283,1224024139,1180645572,1211953994,1240295103,1432606189,1548265808,1764279824,2366941809,2900245324,3161084091,3459337986,3957625367,4102319399,3688976341,3449925739,3629133574,3188652765,3193512950,3271685597,2789881259,2896610480,3000162081,3218419897,3155149348,2891001149,3324683012,3380602043,3727673593
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,26772088212,28352060773,30601967881,34974202380,38564894020,43095586227,49931740625,59972469492,79132917459,1.52202E+11,1.68174E+11,2.10012E+11,2.42292E+11,2.65428E+11,3.58141E+11,4.86441E+11,4.94949E+11,4.63117E+11,4.37503E+11,4.40214E+11,4.329E+11,4.05502E+11,4.31289E+11,4.29414E+11,4.57402E+11,6.40091E+11,4.66374E+11,4.66063E+11,4.7719E+11,4.98084E+11,5.26561E+11,5.68785E+11,6.12395E+11,5.96742E+11,6.63176E+11,7.6066E+11,7.41975E+11,7.43726E+11,8.26976E+11,9.83701E+11,1.2056E+12,1.43411E+12,1.66843E+12,2.10917E+12,1.82278E+12,2.15425E+12,2.55986E+12,2.79378E+12,2.85787E+12,2.90508E+12,2.54414E+12,2.49997E+12,2.57105E+12,2.86554E+12,2.89867E+12,2.57655E+12,2.96912E+12,3.61368E+12,3.49152E+12
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,685986701.3,939893599.6,1415086929,4231243616,11651505690,14720728249,19213158779,24871775165,23775764225,31225659621,43599160050,49333424135,46622718605,42803323345,41807954236,40603650232,33943612095,36384908744,36275674203,41464995914,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,1.04337E+11,1.03312E+11,1.09816E+11,1.24346E+11,1.47824E+11,1.80617E+11,2.22117E+11,2.57916E+11,3.15475E+11,2.53547E+11,3.00189E+11,3.60833E+11,3.8461E+11,4.00219E+11,4.14105E+11,3.70275E+11,3.69255E+11,3.90517E+11,4.27049E+11,4.1799E+11,3.49473E+11,4.15179E+11,5.07064E+11,5.04173E+11
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,1.0949E+11,1.12989E+11,88416666667,1.06214E+11,1.09029E+11,1.26928E+11,76629657864,1.41353E+11,1.8972E+11,2.28779E+11,2.36742E+11,2.5744E+11,2.58032E+11,2.7215E+11,2.92859E+11,2.98948E+11,2.83523E+11,2.84204E+11,2.68697E+11,97724004252,1.27587E+11,1.64658E+11,1.98737E+11,2.32557E+11,2.87531E+11,3.61558E+11,3.32976E+11,4.23627E+11,5.30158E+11,5.45982E+11,5.52025E+11,5.2632E+11,5.94749E+11,5.57532E+11,6.43628E+11,5.2482E+11,4.47755E+11,3.85741E+11,4.87903E+11,6.31133E+11,6.40591E+11
