product_id;onsale_web;price;stock_quantity;stock_status;purchase_price
3847;1;24,2;16;instock;12,88
3849;1;34,3;10;instock;17,54
3850;1;20,8;0;outofstock;10,64
4032;1;14,1;26;instock;6,92
4039;1;46;3;outofstock;23,77
4040;1;34,3;12;instock;18,25
4041;1;32,7;12;instock;17,57
4042;1;31,2;15;instock;15,48
4043;1;60;0;outofstock;29,45
4045;1;42,6;5;instock;22,01
4046;1;80;2;instock;40,92
4047;1;18,3;0;outofstock;9,93
4048;1;22,8;24;instock;11,78
4049;1;19,3;25;instock;10,27
4050;1;21,8;42;instock;11,26
4051;1;7,7;0;outofstock;4,14
4052;1;33,7;0;outofstock;18,11
4053;1;44,3;7;instock;22,2
4054;1;71,6;6;instock;38,47
4055;0;86,1;0;outofstock;37,88
4056;1;12,7;38;instock;6,36
4057;1;8,7;29;instock;4,36
4058;1;8,7;39;instock;4,72
4059;1;8,7;34;instock;4,32
4060;1;11,9;29;instock;6,33
4062;1;11,9;30;instock;6,27
4063;1;14,5;33;instock;7,19
4064;1;14,4;32;instock;7,66
4065;1;19,5;0;outofstock;9,67
4066;1;20,8;27;instock;10,42
4067;1;22;22;instock;11,37
4068;1;16,6;25;instock;8,92
4069;1;60;4;instock;30,07
4070;1;23,4;32;instock;12,21
4071;1;33,2;19;instock;17,15
4072;1;32;8;instock;15,71
4073;1;77,8;8;instock;40,6
4074;1;12,7;30;instock;6,76
4075;1;14,7;35;instock;7,97
4076;1;14,05;32;instock;6,9
4077;1;22,9;34;instock;11,95
4078;1;44;8;instock;22,28
4079;1;37;0;outofstock;19,5
4081;1;39;6;instock;19,14
4083;1;17;21;instock;8,78
4084;1;23,2;23;instock;11,63
4085;1;19;27;instock;9,82
4086;1;16,4;30;instock;8,13
4087;1;14,4;15;instock;7,81
4090;0;73;0;outofstock;33,79
4092;0;47;0;outofstock;25,25
4094;1;13,7;20;instock;7,15
4095;1;12,6;42;instock;6,31
4096;1;22,8;18;instock;11,54
4097;1;12,8;35;instock;6,48
4098;1;22,1;17;instock;10,96
4099;1;12,8;40;instock;6,41
4100;1;15,8;0;outofstock;8,57
4101;1;15,8;21;instock;8,33
4102;1;16,3;16;instock;8
4103;1;16,3;30;instock;8
4104;1;9,7;35;instock;5,11
4105;1;6,8;45;instock;3,51
4106;1;12,6;24;instock;6,64
4107;1;35;8;instock;17,54
4108;1;31,7;13;instock;16,54
4115;1;100;12;instock;52,7
4130;1;23;16;instock;12,48
4132;1;88,4;7;instock;44,3
4137;1;29,8;18;instock;15,86
4138;1;25,7;0;outofstock;13,01
4139;1;77,4;1;instock;39,59
4141;1;39;123;instock;24,86
4142;1;53;125;instock;32,15
4144;1;49;91;instock;27,73
4146;1;29,5;86;instock;17,55
4147;1;33;100;instock;18,48
4148;1;37,5;71;instock;21,88
4149;1;69;101;instock;40,25
4150;1;59;123;instock;35,45
4151;1;13,7;23;instock;7,36
4152;1;19,2;14;instock;9,52
4153;1;29;30;instock;15,13
4154;1;9,8;31;instock;4,91
4155;1;14,5;33;instock;7,27
4156;1;20,35;44;instock;10,3
4157;1;12;36;instock;6,45
4158;1;18,5;36;instock;9,94
4159;1;9,3;51;instock;4,9
4160;1;9,3;36;instock;4,85
4161;1;11,6;36;instock;5,81
4162;1;14,3;31;instock;7,02
4163;1;10,8;26;instock;5,8
4164;1;7,6;28;instock;4,04
4165;1;12;26;instock;5,95
4166;1;20,5;20;instock;10,27
4167;1;14,3;16;instock;7,24
4168;1;18,2;21;instock;9,4
4170;1;9;28;instock;4,51
4171;1;7,8;32;instock;4,15
4172;1;5,7;31;instock;2,95
4173;1;5,7;49;instock;2,97
4174;1;5,7;43;instock;2,92
4176;1;13,5;18;instock;6,63
4177;1;13,5;28;instock;7,11
4178;1;11,5;21;instock;6,18
4179;1;24;0;outofstock;13,02
4180;1;24;19;instock;12,28
4181;1;11,9;43;instock;6,21
4182;1;16,7;43;instock;8,46
4183;1;21,4;23;instock;10,61
4186;1;16,6;29;instock;9,01
4187;1;13,3;26;instock;6,67
4188;1;9,5;51;instock;5,06
4190;1;12,1;27;instock;6,13
4191;1;9,3;30;instock;4,76
4192;1;17,8;32;instock;8,92
4193;1;13,5;34;instock;6,91
4194;1;10,8;29;instock;5,58
4195;0;14,1;0;outofstock;7,36
4196;1;27,2;0;outofstock;14,05
4197;1;9,4;32;instock;5,1
4198;1;5,8;0;outofstock;2,97
4200;0;5,8;33;instock;3,12
4201;1;38;11;instock;19,24
4202;1;38;6;instock;19,63
4203;1;9,9;74;instock;5,01
4204;1;11,3;50;instock;5,96
4205;1;23;12;instock;11,65
4207;1;6,7;30;instock;3,63
4208;1;7,6;35;instock;3,77
4209;0;73,5;0;outofstock;33,01
4210;1;79,8;4;instock;39,17
4211;1;48,5;5;instock;25,56
4212;1;39,8;12;instock;21,39
4213;1;58,8;10;instock;29,16
4215;1;26,5;20;instock;13,97
4216;1;13,4;35;instock;7,2
4217;1;17,1;12;instock;9,28
4219;1;16,7;25;instock;8,97
4220;1;11,6;48;instock;5,75
4221;1;12,8;42;instock;6,48
4222;1;8,9;45;instock;4,74
4223;1;9,7;42;instock;4,81
4224;1;17,2;21;instock;8,53
4225;1;16,9;27;instock;9,08
4227;1;12,6;24;instock;6,77
4228;1;29,9;30;instock;16,07
