Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Afghanistan,AFG,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Albania,ALB,6.13901678987099
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Algeria,DZA,1.53316323155349
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,American Samoa,ASM,3.48601710593883
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Andorra,AND,7.73271565222045
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Angola,AGO,-0.096754729759283
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Antigua and Barbuda,ATG,8.88099661380551
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Argentina,ARG,3.98913108450517
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Armenia,ARM,13.0254185175235
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Aruba,ABW,10.5537860480283
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Australia,AUS,2.985396454868
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Austria,AUT,3.80895606240934
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Azerbaijan,AZE,4.5751993710583
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Bahamas, The",BHS,13.7885356637794
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Bahrain,BHR,4.22210599747656
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Bangladesh,BGD,5.95484484128914
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Barbados,BRB,11.1617790836882
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Belarus,BLR,-3.92790922199924
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Belgium,BEL,2.13176574458433
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Belize,BLZ,7.32815328663918
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Benin,BEN,3.42067945548739
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Bermuda,BMU,3.30297220432685
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Bhutan,BTN,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Bolivia,BOL,2.37979822047724
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Bosnia and Herzegovina,BIH,5.31090031916564
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Botswana,BWA,4.10382634129674
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brazil,BRA,2.42870175959639
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,British Virgin Islands,VGB,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Brunei Darussalam,BRN,-2.42340770254603
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Bulgaria,BGR,10.5597165401613
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Burkina Faso,BFA,-0.79200825503608
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Burundi,BDI,-0.824628691394793
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Cabo Verde,CPV,16.0853160794905
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Cambodia,KHM,4.11749069468274
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Cameroon,CMR,0.926268102301123
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Canada,CAN,1.56901504904545
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Cayman Islands,CYM,2.81441093571404
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Central African Republic,CAF,-1.69540495908691
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Chad,TCD,-0.899603180557335
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Channel Islands,CHI,..
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Chile,CHL,1.86272341687035
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,China,CHN,3.00257602616854
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Colombia,COL,6.51746182640514
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Comoros,COM,0.534046630795132
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Congo, Dem. Rep.",COD,5.49632833527404
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,"Congo, Rep.",COG,-0.812656367654213
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Costa Rica,CRI,4.00920256546485
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Cote d'Ivoire,CIV,4.15512756791803
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Croatia,HRV,6.99254520872388
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Cuba,CUB,2.17589201000369
