Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","004","Afghanistan","6119","Value US$ per capita","22008","Gross Domestic Product","2022","2022","USD","361.601822","E","Estimated value",""
"MK","Macro Indicators","008","Albania","6119","Value US$ per capita","22008","Gross Domestic Product","2022","2022","USD","6765.266307","E","Estimated value",""
"MK","Macro Indicators","012","Algeria","6119","Value US$ per capita","22008","Gross Domestic Product","2022","2022","USD","4273.93704","E","Estimated value",""
"MK","Macro Indicators","020","Andorra","6119","Value US$ per capita","22008","Gross Domestic Product","2022","2022","USD","41986.505735","E","Estimated value",""
"MK","Macro Indicators","024","Angola","6119","Value US$ per capita","22008","Gross Domestic Product","2022","2022","USD","3256.343084","E","Estimated value",""
"MK","Macro Indicators","660","Anguilla","6119","Value US$ per capita","22008","Gross Domestic Product","2022","2022","USD","19281.895415","E","Estimated value",""
"MK","Macro Indicators","028","Antigua and Barbuda","6119","Value US$ per capita","22008","Gross Domestic Product","2022","2022","USD","17071.659371","E","Estimated value",""
"MK","Macro Indicators","032","Argentina","6119","Value US$ per capita","22008","Gross Domestic Product","2022","2022","USD","13903.886244","E","Estimated value",""
"MK","Macro Indicators","051","Armenia","6119","Value US$ per capita","22008","Gross Domestic Product","2022","2022","USD","7014.211117","E","Estimated value",""
"MK","Macro Indicators","533","Aruba","6119","Value US$ per capita","22008","Gross Domestic Product","2022","2022","USD","32815.068815","E","Estimated value",""
"MK","Macro Indicators","036","Australia","6119","Value US$ per capita","22008","Gross Domestic Product","2022","2022","USD","67908.685226","E","Estimated value",""
"MK","Macro Indicators","040","Austria","6119","Value US$ per capita","22008","Gross Domestic Product","2022","2022","USD","52731.572962","E","Estimated value",""
"MK","Macro Indicators","031","Azerbaijan","6119","Value US$ per capita","22008","Gross Domestic Product","2022","2022","USD","7571.797948","E","Estimated value",""
"MK","Macro Indicators","044","Bahamas","6119","Value US$ per capita","22008","Gross Domestic Product","2022","2022","USD","30587.76419","E","Estimated value",""
"MK","Macro Indicators","048","Bahrain","6119","Value US$ per capita","22008","Gross Domestic Product","2022","2022","USD","29818.52393","E","Estimated value",""
"MK","Macro Indicators","050","Bangladesh","6119","Value US$ per capita","22008","Gross Domestic Product","2022","2022","USD","2528.858212","E","Estimated value",""
"MK","Macro Indicators","052","Barbados","6119","Value US$ per capita","22008","Gross Domestic Product","2022","2022","USD","20018.515151","E","Estimated value",""
"MK","Macro Indicators","112","Belarus","6119","Value US$ per capita","22008","Gross Domestic Product","2022","2022","USD","7473.572548","E","Estimated value",""
"MK","Macro Indicators","056","Belgium","6119","Value US$ per capita","22008","Gross Domestic Product","2022","2022","USD","49619.625742","E","Estimated value",""
"MK","Macro Indicators","084","Belize","6119","Value US$ per capita","22008","Gross Domestic Product","2022","2022","USD","6968.846646","E","Estimated value",""
"MK","Macro Indicators","204","Benin","6119","Value US$ per capita","22008","Gross Domestic Product","2022","2022","USD","1302.851036","E","Estimated value",""
"MK","Macro Indicators","060","Bermuda","6119","Value US$ per capita","22008","Gross Domestic Product","2022","2022","USD","119345.192858","E","Estimated value",""
"MK","Macro Indicators","064","Bhutan","6119","Value US$ per capita","22008","Gross Domestic Product","2022","2022","USD","3238.813633","E","Estimated value",""
"MK","Macro Indicators","068","Bolivia (Plurinational State of)","6119","Value US$ per capita","22008","Gross Domestic Product","2022","2022","USD","3523.273733","E","Estimated value",""
