Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","008","Albania","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.204","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","012","Algeria","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.964","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","024","Angola","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.011","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","660","Anguilla","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.647","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","028","Antigua and Barbuda","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.682","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","032","Argentina","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.669","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","051","Armenia","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.973","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","533","Aruba","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.718","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","036","Australia","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.458","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","040","Austria","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.612","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","031","Azerbaijan","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.729","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","044","Bahamas","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.848","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","048","Bahrain","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.006","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","050","Bangladesh","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.143","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","112","Belarus","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.826","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","056","Belgium","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.745","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","084","Belize","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.776","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","204","Benin","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.168","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","060","Bermuda","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.502","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","064","Bhutan","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.191","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","068","Bolivia (Plurinational State of)","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.046","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","070","Bosnia and Herzegovina","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.921","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","072","Botswana","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.097","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","076","Brazil","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.635","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","092","British Virgin Islands","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.828","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","096","Brunei Darussalam","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.123","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","100","Bulgaria","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.963","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","854","Burkina Faso","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.145","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","108","Burundi","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.112","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","132","Cabo Verde","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.779","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","116","Cambodia","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.226","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","120","Cameroon","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.837","E","Estimated value"
