Domain Code,Domain,Area Code (M49),Area,Food Group Code,Food Group,Indicator Code,Indicator,Year Code,Year,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"SUA","Availability (based on supply utilization accounts)","004","Afghanistan","FG7","Meat and meat products","4003","Energy supply","2021","2021","6128","Value","kcal/cap/d","48","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","008","Albania","FG7","Meat and meat products","4003","Energy supply","2021","2021","6128","Value","kcal/cap/d","263","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","012","Algeria","FG7","Meat and meat products","4003","Energy supply","2021","2021","6128","Value","kcal/cap/d","96","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","024","Angola","FG7","Meat and meat products","4003","Energy supply","2021","2021","6128","Value","kcal/cap/d","106","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","028","Antigua and Barbuda","FG7","Meat and meat products","4003","Energy supply","2021","2021","6128","Value","kcal/cap/d","349","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","032","Argentina","FG7","Meat and meat products","4003","Energy supply","2021","2021","6128","Value","kcal/cap/d","601","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","051","Armenia","FG7","Meat and meat products","4003","Energy supply","2021","2021","6128","Value","kcal/cap/d","324","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","036","Australia","FG7","Meat and meat products","4003","Energy supply","2021","2021","6128","Value","kcal/cap/d","466","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","040","Austria","FG7","Meat and meat products","4003","Energy supply","2021","2021","6128","Value","kcal/cap/d","339","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","031","Azerbaijan","FG7","Meat and meat products","4003","Energy supply","2021","2021","6128","Value","kcal/cap/d","200","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","044","Bahamas","FG7","Meat and meat products","4003","Energy supply","2021","2021","6128","Value","kcal/cap/d","494","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","048","Bahrain","FG7","Meat and meat products","4003","Energy supply","2021","2021","6128","Value","kcal/cap/d","383","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","050","Bangladesh","FG7","Meat and meat products","4003","Energy supply","2021","2021","6128","Value","kcal/cap/d","20","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","052","Barbados","FG7","Meat and meat products","4003","Energy supply","2021","2021","6128","Value","kcal/cap/d","354","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","112","Belarus","FG7","Meat and meat products","4003","Energy supply","2021","2021","6128","Value","kcal/cap/d","431","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","056","Belgium","FG7","Meat and meat products","4003","Energy supply","2021","2021","6128","Value","kcal/cap/d","309","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","084","Belize","FG7","Meat and meat products","4003","Energy supply","2021","2021","6128","Value","kcal/cap/d","294","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","204","Benin","FG7","Meat and meat products","4003","Energy supply","2021","2021","6128","Value","kcal/cap/d","68","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","064","Bhutan","FG7","Meat and meat products","4003","Energy supply","2021","2021","6128","Value","kcal/cap/d","64","E","Estimated value",""
"SUA","Availability (based on supply utilization accounts)","068","Bolivia (Plurinational State of)","FG7","Meat and meat products","4003","Energy supply","2021","2021","6128","Value","kcal/cap/d","347","E","Estimated value",""
