Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","004","Afghanistan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","40099.462","X","Figure from international organizations",""
"OA","Annual population","008","Albania","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","2854.71","X","Figure from international organizations",""
"OA","Annual population","012","Algeria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","44177.969","X","Figure from international organizations",""
"OA","Annual population","016","American Samoa","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","45.035","X","Figure from international organizations",""
"OA","Annual population","020","Andorra","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","79.034","X","Figure from international organizations",""
"OA","Annual population","024","Angola","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","34503.774","X","Figure from international organizations",""
"OA","Annual population","660","Anguilla","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","15.753","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","93.219","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","45276.78","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","2790.974","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","106.537","X","Figure from international organizations",""
"OA","Annual population","036","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","25921.089","X","Figure from international organizations",""
"OA","Annual population","040","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","8922.082","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","10312.992","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","407.906","X","Figure from international organizations",""
