Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
Population growth (annual %),SP.POP.GROW,Afghanistan,AFG,2.53449831666733
Population growth (annual %),SP.POP.GROW,Albania,ALB,-1.21579032012532
Population growth (annual %),SP.POP.GROW,Algeria,DZA,1.62833925417918
Population growth (annual %),SP.POP.GROW,American Samoa,ASM,-1.70649548061895
Population growth (annual %),SP.POP.GROW,Andorra,AND,0.994607149162366
Population growth (annual %),SP.POP.GROW,Angola,AGO,3.09675267067326
Population growth (annual %),SP.POP.GROW,Antigua and Barbuda,ATG,0.581875832853236
Population growth (annual %),SP.POP.GROW,Argentina,ARG,0.925835473662058
Population growth (annual %),SP.POP.GROW,Armenia,ARM,-0.377102034390101
Population growth (annual %),SP.POP.GROW,Aruba,ABW,-0.0863922826549927
Population growth (annual %),SP.POP.GROW,Australia,AUS,1.23863879657531
Population growth (annual %),SP.POP.GROW,Austria,AUT,0.956287797076634
Population growth (annual %),SP.POP.GROW,Azerbaijan,AZE,0.039507866238038
Population growth (annual %),SP.POP.GROW,"Bahamas, The",BHS,0.508137884368941
Population growth (annual %),SP.POP.GROW,Bahrain,BHR,0.611005553402689
Population growth (annual %),SP.POP.GROW,Bangladesh,BGD,1.0748367431585
Population growth (annual %),SP.POP.GROW,Barbados,BRB,0.154574639677083
Population growth (annual %),SP.POP.GROW,Belarus,BLR,-0.804228426880244
Population growth (annual %),SP.POP.GROW,Belgium,BEL,0.856132433382837
Population growth (annual %),SP.POP.GROW,Belize,BLZ,1.30164025141276
Population growth (annual %),SP.POP.GROW,Benin,BEN,2.70204108933956
Population growth (annual %),SP.POP.GROW,Bermuda,BMU,-0.364505179849171
Population growth (annual %),SP.POP.GROW,Bhutan,BTN,0.63707753130368
Population growth (annual %),SP.POP.GROW,Bolivia,BOL,1.1902748132628
Population growth (annual %),SP.POP.GROW,Bosnia and Herzegovina,BIH,-1.15051398459433
Population growth (annual %),SP.POP.GROW,Botswana,BWA,1.60475774255203
Population growth (annual %),SP.POP.GROW,Brazil,BRA,0.459583548488331
Population growth (annual %),SP.POP.GROW,British Virgin Islands,VGB,0.586286459995554
Population growth (annual %),SP.POP.GROW,Brunei Darussalam,BRN,0.811520875721177
Population growth (annual %),SP.POP.GROW,Bulgaria,BGR,-6.18725298204958
Population growth (annual %),SP.POP.GROW,Burkina Faso,BFA,2.55998839127434
Population growth (annual %),SP.POP.GROW,Burundi,BDI,2.66016084004174
Population growth (annual %),SP.POP.GROW,Cabo Verde,CPV,0.884624344860865
Population growth (annual %),SP.POP.GROW,Cambodia,KHM,1.07216738142292
Population growth (annual %),SP.POP.GROW,Cameroon,CMR,2.59810258830226
Population growth (annual %),SP.POP.GROW,Canada,CAN,1.82337042206996
Population growth (annual %),SP.POP.GROW,Cayman Islands,CYM,0.83308238204777
Population growth (annual %),SP.POP.GROW,Central African Republic,CAF,2.21079511675969
Population growth (annual %),SP.POP.GROW,Chad,TCD,3.11502218647071
Population growth (annual %),SP.POP.GROW,Channel Islands,CHI,0.80516754536027
Population growth (annual %),SP.POP.GROW,Chile,CHL,0.565514127974157
Population growth (annual %),SP.POP.GROW,China,CHN,-0.0130995013525784
Population growth (annual %),SP.POP.GROW,Colombia,COL,0.691481571303501
Population growth (annual %),SP.POP.GROW,Comoros,COM,1.82699354985146
Population growth (annual %),SP.POP.GROW,"Congo, Dem. Rep.",COD,3.19783510453186
Population growth (annual %),SP.POP.GROW,"Congo, Rep.",COG,2.28055584966535
Population growth (annual %),SP.POP.GROW,Costa Rica,CRI,0.520031291578434
Population growth (annual %),SP.POP.GROW,Cote d'Ivoire,CIV,2.45270320081193
Population growth (annual %),SP.POP.GROW,Croatia,HRV,-0.605075153015409
Population growth (annual %),SP.POP.GROW,Cuba,CUB,-0.393269982974889
Population growth (annual %),SP.POP.GROW,Curacao,CUW,-1.56965834139861
Population growth (annual %),SP.POP.GROW,Cyprus,CYP,0.585013504929064
Population growth (annual %),SP.POP.GROW,Czechia,CZE,1.5709725672011
Population growth (annual %),SP.POP.GROW,Denmark,DNK,0.787502464739957
Population growth (annual %),SP.POP.GROW,Djibouti,DJI,1.37371534912362
Population growth (annual %),SP.POP.GROW,Dominica,DMA,0.44781644121254
Population growth (annual %),SP.POP.GROW,Dominican Republic,DOM,0.992978304770296
Population growth (annual %),SP.POP.GROW,Ecuador,ECU,1.13559975243065
Population growth (annual %),SP.POP.GROW,"Egypt, Arab Rep.",EGY,1.56907383039584
Population growth (annual %),SP.POP.GROW,El Salvador,SLV,0.351368233858255
Population growth (annual %),SP.POP.GROW,Equatorial Guinea,GNQ,2.44420928980061
Population growth (annual %),SP.POP.GROW,Eritrea,ERI,1.74475945969517
Population growth (annual %),SP.POP.GROW,Estonia,EST,1.33655151148286
Population growth (annual %),SP.POP.GROW,Eswatini,SWZ,0.785236419347899
Population growth (annual %),SP.POP.GROW,Ethiopia,ETH,2.54208920295403
Population growth (annual %),SP.POP.GROW,Faroe Islands,FRO,0.379320886225017
Population growth (annual %),SP.POP.GROW,Fiji,FJI,0.556091460082176
Population growth (annual %),SP.POP.GROW,Finland,FIN,0.271944526506117
Population growth (annual %),SP.POP.GROW,France,FRA,0.305015246719983
Population growth (annual %),SP.POP.GROW,French Polynesia,PYF,0.736349222896672
Population growth (annual %),SP.POP.GROW,Gabon,GAB,2.02168710210066
Population growth (annual %),SP.POP.GROW,"Gambia, The",GMB,2.47214748808282
Population growth (annual %),SP.POP.GROW,Georgia,GEO,0.104889950638883
Population growth (annual %),SP.POP.GROW,Germany,DEU,0.720875455989295
Population growth (annual %),SP.POP.GROW,Ghana,GHA,1.93898294382388
Population growth (annual %),SP.POP.GROW,Gibraltar,GIB,-0.0612388640957491
Population growth (annual %),SP.POP.GROW,Greece,GRC,-1.35539459324563
Population growth (annual %),SP.POP.GROW,Greenland,GRL,0.0141200557976914
Population growth (annual %),SP.POP.GROW,Grenada,GRD,0.662275264266552
Population growth (annual %),SP.POP.GROW,Guam,GUM,0.724496899820096
Population growth (annual %),SP.POP.GROW,Guatemala,GTM,1.43986849494773
Population growth (annual %),SP.POP.GROW,Guinea,GIN,2.39091413366776
Population growth (annual %),SP.POP.GROW,Guinea-Bissau,GNB,2.15283930362989
Population growth (annual %),SP.POP.GROW,Guyana,GUY,0.515592544369467
Population growth (annual %),SP.POP.GROW,Haiti,HTI,1.19334195623455
Population growth (annual %),SP.POP.GROW,Honduras,HND,1.49211855882432
Population growth (annual %),SP.POP.GROW,"Hong Kong SAR, China",HKG,-0.907914524343304
Population growth (annual %),SP.POP.GROW,Hungary,HUN,-0.690781547965424
Population growth (annual %),SP.POP.GROW,Iceland,ISL,2.51377343254216
Population growth (annual %),SP.POP.GROW,India,IND,0.680372581057012
Population growth (annual %),SP.POP.GROW,Indonesia,IDN,0.636555115146439
Population growth (annual %),SP.POP.GROW,"Iran, Islamic Rep.",IRN,0.710745642903734
Population growth (annual %),SP.POP.GROW,Iraq,IRQ,2.18691693437269
Population growth (annual %),SP.POP.GROW,Ireland,IRL,1.8505037841192
Population growth (annual %),SP.POP.GROW,Isle of Man,IMN,0.303350115903421
Population growth (annual %),SP.POP.GROW,Israel,ISR,1.96636884788361
Population growth (annual %),SP.POP.GROW,Italy,ITA,-0.326488181067642
Population growth (annual %),SP.POP.GROW,Jamaica,JAM,-0.0112465411699634
Population growth (annual %),SP.POP.GROW,Japan,JPN,-0.443851919148528
Population growth (annual %),SP.POP.GROW,Jordan,JOR,1.22663656612596
Population growth (annual %),SP.POP.GROW,Kazakhstan,KAZ,3.21589809559657
Population growth (annual %),SP.POP.GROW,Kenya,KEN,1.90951031059953
Population growth (annual %),SP.POP.GROW,Kiribati,KIR,1.81315663594675
Population growth (annual %),SP.POP.GROW,"Korea, Dem. People's Rep.",PRK,0.374729560022698
Population growth (annual %),SP.POP.GROW,"Korea, Rep.",KOR,-0.225898556795999
Population growth (annual %),SP.POP.GROW,Kosovo,XKX,-1.35587443993054
Population growth (annual %),SP.POP.GROW,Kuwait,KWT,0.44040518714903
Population growth (annual %),SP.POP.GROW,Kyrgyz Republic,KGZ,2.93148141736729
Population growth (annual %),SP.POP.GROW,Lao PDR,LAO,1.39649568386606
Population growth (annual %),SP.POP.GROW,Latvia,LVA,-0.271369577775699
Population growth (annual %),SP.POP.GROW,Lebanon,LBN,-1.85691249289585
Population growth (annual %),SP.POP.GROW,Lesotho,LSO,1.06255709738439
Population growth (annual %),SP.POP.GROW,Liberia,LBR,2.08208722249815
Population growth (annual %),SP.POP.GROW,Libya,LBY,1.13768828173195
Population growth (annual %),SP.POP.GROW,Liechtenstein,LIE,0.735015942105173
Population growth (annual %),SP.POP.GROW,Lithuania,LTU,1.09366808005007
Population growth (annual %),SP.POP.GROW,Luxembourg,LUX,2.01666790212729
Population growth (annual %),SP.POP.GROW,"Macao SAR, China",MAC,1.23914668361251
Population growth (annual %),SP.POP.GROW,Madagascar,MDG,2.37869514981706
Population growth (annual %),SP.POP.GROW,Malawi,MWI,2.5591382705715
Population growth (annual %),SP.POP.GROW,Malaysia,MYS,1.07936374148797
Population growth (annual %),SP.POP.GROW,Maldives,MDV,0.44582965495802
Population growth (annual %),SP.POP.GROW,Mali,MLI,3.09520925424978
Population growth (annual %),SP.POP.GROW,Malta,MLT,2.39653483178468
Population growth (annual %),SP.POP.GROW,Marshall Islands,MHL,-1.15046892532344
Population growth (annual %),SP.POP.GROW,Mauritania,MRT,2.59160126770452
Population growth (annual %),SP.POP.GROW,Mauritius,MUS,-0.301401216835277
Population growth (annual %),SP.POP.GROW,Mexico,MEX,0.628607802526073
Population growth (annual %),SP.POP.GROW,"Micronesia, Fed. Sts.",FSM,0.908957180951961
Population growth (annual %),SP.POP.GROW,Moldova,MDA,-2.21696682736653
Population growth (annual %),SP.POP.GROW,Monaco,MCO,-0.593262624459316
Population growth (annual %),SP.POP.GROW,Mongolia,MNG,1.49966908606271
Population growth (annual %),SP.POP.GROW,Montenegro,MNE,-0.323190384386897
Population growth (annual %),SP.POP.GROW,Morocco,MAR,1.02339197878946
Population growth (annual %),SP.POP.GROW,Mozambique,MOZ,2.7441930613512
Population growth (annual %),SP.POP.GROW,Myanmar,MMR,0.706117426957398
Population growth (annual %),SP.POP.GROW,Namibia,NAM,1.44635918427576
Population growth (annual %),SP.POP.GROW,Nauru,NRU,1.24708713411304
Population growth (annual %),SP.POP.GROW,Nepal,NPL,1.69224660146888
Population growth (annual %),SP.POP.GROW,Netherlands,NLD,0.953278922854537
Population growth (annual %),SP.POP.GROW,New Caledonia,NCL,-0.433647202048094
Population growth (annual %),SP.POP.GROW,New Zealand,NZL,0.248156055246315
Population growth (annual %),SP.POP.GROW,Nicaragua,NIC,1.41827846169398
Population growth (annual %),SP.POP.GROW,Niger,NER,3.71298781842953
Population growth (annual %),SP.POP.GROW,Nigeria,NGA,2.38000715491565
Population growth (annual %),SP.POP.GROW,North Macedonia,MKD,-0.359612890884782
Population growth (annual %),SP.POP.GROW,Northern Mariana Islands,MNP,0.141368470106524
Population growth (annual %),SP.POP.GROW,Norway,NOR,0.898395220610608
Population growth (annual %),SP.POP.GROW,Oman,OMN,1.22741823795981
Population growth (annual %),SP.POP.GROW,Pakistan,PAK,1.89324559780014
Population growth (annual %),SP.POP.GROW,Palau,PLW,0.171845159947773
Population growth (annual %),SP.POP.GROW,Panama,PAN,1.30858019134362
Population growth (annual %),SP.POP.GROW,Papua New Guinea,PNG,1.92302821820746
Population growth (annual %),SP.POP.GROW,Paraguay,PRY,1.14124498151162
Population growth (annual %),SP.POP.GROW,Peru,PER,0.986112053718798
Population growth (annual %),SP.POP.GROW,Philippines,PHL,1.46331572990702
Population growth (annual %),SP.POP.GROW,Poland,POL,-2.48206113275772
Population growth (annual %),SP.POP.GROW,Portugal,PRT,0.460948935788035
Population growth (annual %),SP.POP.GROW,Puerto Rico,PRI,-1.26161326518099
Population growth (annual %),SP.POP.GROW,Qatar,QAT,0.255862791830044
Population growth (annual %),SP.POP.GROW,Romania,ROU,-0.393250873813944
Population growth (annual %),SP.POP.GROW,Russian Federation,RUS,0.0738301203937616
Population growth (annual %),SP.POP.GROW,Rwanda,RWA,2.31160323907511
Population growth (annual %),SP.POP.GROW,Samoa,WSM,1.64031006593833
Population growth (annual %),SP.POP.GROW,San Marino,SMR,-0.252206943270995
Population growth (annual %),SP.POP.GROW,Sao Tome and Principe,STP,1.89711496901471
Population growth (annual %),SP.POP.GROW,Saudi Arabia,SAU,1.2670953577821
Population growth (annual %),SP.POP.GROW,Senegal,SEN,2.57217015290678
Population growth (annual %),SP.POP.GROW,Serbia,SRB,-2.5170575672922
Population growth (annual %),SP.POP.GROW,Seychelles,SYC,..
Population growth (annual %),SP.POP.GROW,Sierra Leone,SLE,2.17409124204784
Population growth (annual %),SP.POP.GROW,Singapore,SGP,3.30862052439523
Population growth (annual %),SP.POP.GROW,Sint Maarten (Dutch part),SXM,0.420974474552561
Population growth (annual %),SP.POP.GROW,Slovak Republic,SVK,-0.284860959688394
Population growth (annual %),SP.POP.GROW,Slovenia,SVN,0.185163077643301
Population growth (annual %),SP.POP.GROW,Solomon Islands,SLB,2.29347735670131
Population growth (annual %),SP.POP.GROW,Somalia,SOM,3.06938435160534
Population growth (annual %),SP.POP.GROW,South Africa,ZAF,0.841058243677696
Population growth (annual %),SP.POP.GROW,South Sudan,SSD,1.52247694994588
Population growth (annual %),SP.POP.GROW,Spain,ESP,0.761701877296859
Population growth (annual %),SP.POP.GROW,Sri Lanka,LKA,0.112772639779474
Population growth (annual %),SP.POP.GROW,St. Kitts and Nevis,KNA,0.107072010901133
Population growth (annual %),SP.POP.GROW,St. Lucia,LCA,0.114601078443679
Population growth (annual %),SP.POP.GROW,St. Martin (French part),MAF,-0.49263501943339
Population growth (annual %),SP.POP.GROW,St. Vincent and the Grenadines,VCT,-0.368734813797833
Population growth (annual %),SP.POP.GROW,Sudan,SDN,2.63061426078782
Population growth (annual %),SP.POP.GROW,Suriname,SUR,0.821271446595146
Population growth (annual %),SP.POP.GROW,Sweden,SWE,0.68058286829853
Population growth (annual %),SP.POP.GROW,Switzerland,CHE,0.814795736256849
Population growth (annual %),SP.POP.GROW,Syrian Arab Republic,SYR,3.68690356008785
Population growth (annual %),SP.POP.GROW,Tajikistan,TJK,2.05787633614157
Population growth (annual %),SP.POP.GROW,Tanzania,TZA,2.95857345225459
Population growth (annual %),SP.POP.GROW,Thailand,THA,0.133884527761643
Population growth (annual %),SP.POP.GROW,Timor-Leste,TLS,1.52911922954277
Population growth (annual %),SP.POP.GROW,Togo,TGO,2.33091038438886
